Wind [m/s];Power [MW];Thrust Coefficient [-];Power coefficient from electrical output [-];Power coefficient from torque [-]
3.0;0.490077;0.779578;0.467808;0.502037
4.0;1.200354;0.820966;0.483389;0.499249
5.0;2.355715;0.82957;0.485713;0.500908
6.0;4.077521;0.83299;0.48653;0.501569
7.0;6.448336;0.826455;0.48453;0.500365
8.0;9.54798;0.815204;0.480628;0.49786
9.0;13.434352;0.798969;0.474959;0.494098
10.0;17.15365;0.675541;0.442103;0.471195
11.0;20.830609;0.583257;0.403359;0.427151
12.0;22.000215;0.443236;0.328133;0.344866
13.0;21.999677;0.33362;0.25808;0.271242
14.0;21.999691;0.261041;0.206633;0.217181
15.0;21.999929;0.209633;0.168002;0.17659
16.0;21.999809;0.171731;0.138429;0.145512
17.0;22.000352;0.142894;0.115412;0.121324
18.0;21.999967;0.120481;0.097224;0.102213
19.0;22.000235;0.102746;0.082667;0.086919
20.0;22.000061;0.08852;0.070876;0.074529
21.0;22.000308;0.076938;0.061226;0.064382
22.0;21.999685;0.067403;0.05325;0.056002
23.0;22.000097;0.059474;0.046602;0.049015
24.0;21.999638;0.052814;0.041016;0.043145
25.0;22.00005;0.04719;0.036289;0.038179
